day_stap,repo,time_stap
2023-01-28,0,2023-01-28 00:00:00
2023-01-29,0,2023-01-29 00:00:00
2023-01-30,0,2023-01-30 00:00:00
2023-01-31,0,2023-01-31 00:00:00
2023-02-01,0,2023-02-01 00:00:00
2023-02-02,0,2023-02-02 00:00:00
2023-02-03,0,2023-02-03 00:00:00
2023-02-04,0,2023-02-04 00:00:00
2023-02-05,0,2023-02-05 00:00:00
2023-02-06,0,2023-02-06 00:00:00
2023-02-07,0,2023-02-07 00:00:00
2023-02-08,0,2023-02-08 00:00:00
2023-02-09,0,2023-02-09 00:00:00
2023-02-10,0,2023-02-10 00:00:00
2023-02-11,0,2023-02-11 00:00:00
2023-02-12,0,2023-02-12 00:00:00
2023-02-13,0,2023-02-13 00:00:00
2023-02-14,0,2023-02-14 00:00:00
2023-02-15,0,2023-02-15 00:00:00
2023-02-16,0,2023-02-16 00:00:00
2023-02-17,0,2023-02-17 00:00:00
2023-02-18,0,2023-02-18 00:00:00
2023-02-19,0,2023-02-19 00:00:00
2023-02-20,0,2023-02-20 00:00:00
2023-02-21,0,2023-02-21 00:00:00
2023-02-22,0,2023-02-22 00:00:00
2023-02-23,0,2023-02-23 00:00:00
2023-02-24,0,2023-02-24 00:00:00
2023-02-25,0,2023-02-25 00:00:00
2023-02-26,0,2023-02-26 00:00:00
2023-02-27,0,2023-02-27 00:00:00
2023-02-28,0,2023-02-28 00:00:00
2023-03-01,0,2023-03-01 00:00:00
2023-03-02,0,2023-03-02 00:00:00
2023-03-03,0,2023-03-03 00:00:00
2023-03-04,0,2023-03-04 00:00:00
2023-03-05,0,2023-03-05 00:00:00
2023-03-06,0,2023-03-06 00:00:00
2023-03-07,0,2023-03-07 00:00:00
2023-03-08,0,2023-03-08 00:00:00
2023-03-09,0,2023-03-09 00:00:00
2023-03-10,0,2023-03-10 00:00:00
2023-03-11,0,2023-03-11 00:00:00
2023-03-12,0,2023-03-12 00:00:00
2023-03-13,0,2023-03-13 00:00:00
2023-03-14,0,2023-03-14 00:00:00
2023-03-15,0,2023-03-15 00:00:00
2023-03-16,0,2023-03-16 00:00:00
2023-03-17,0,2023-03-17 00:00:00
2023-03-18,0,2023-03-18 00:00:00
2023-03-19,0,2023-03-19 00:00:00
2023-03-20,0,2023-03-20 00:00:00
2023-03-21,0,2023-03-21 00:00:00
2023-03-22,0,2023-03-22 00:00:00
2023-03-23,0,2023-03-23 00:00:00
2023-03-24,0,2023-03-24 00:00:00
2023-03-25,0,2023-03-25 00:00:00
2023-03-26,0,2023-03-26 00:00:00
2023-03-27,0,2023-03-27 00:00:00
2023-03-28,0,2023-03-28 00:00:00
2023-03-29,0,2023-03-29 00:00:00
2023-03-30,0,2023-03-30 00:00:00
2023-03-31,0,2023-03-31 00:00:00
2023-04-01,0,2023-04-01 00:00:00
2023-04-02,0,2023-04-02 00:00:00
2023-04-03,0,2023-04-03 00:00:00
2023-04-04,0,2023-04-04 00:00:00
2023-04-05,0,2023-04-05 00:00:00
2023-04-06,0,2023-04-06 00:00:00
2023-04-07,0,2023-04-07 00:00:00
2023-04-08,0,2023-04-08 00:00:00
2023-04-09,0,2023-04-09 00:00:00
2023-04-10,0,2023-04-10 00:00:00
2023-04-11,0,2023-04-11 00:00:00
2023-04-12,0,2023-04-12 00:00:00
2023-04-13,0,2023-04-13 00:00:00
2023-04-14,0,2023-04-14 00:00:00
2023-04-15,0,2023-04-15 00:00:00
2023-04-16,0,2023-04-16 00:00:00
2023-04-17,0,2023-04-17 00:00:00
2023-04-18,0,2023-04-18 00:00:00
2023-04-19,0,2023-04-19 00:00:00
2023-04-20,0,2023-04-20 00:00:00
2023-04-21,0,2023-04-21 00:00:00
2023-04-22,0,2023-04-22 00:00:00
2023-04-23,0,2023-04-23 00:00:00
2023-04-24,0,2023-04-24 00:00:00
2023-04-25,0,2023-04-25 00:00:00
2023-04-26,0,2023-04-26 00:00:00
2023-04-27,0,2023-04-27 00:00:00
2023-04-28,0,2023-04-28 00:00:00
2023-04-29,0,2023-04-29 00:00:00
2023-04-30,0,2023-04-30 00:00:00
2023-05-01,0,2023-05-01 00:00:00
2023-05-02,0,2023-05-02 00:00:00
2023-05-03,0,2023-05-03 00:00:00
2023-05-04,0,2023-05-04 00:00:00
2023-05-05,0,2023-05-05 00:00:00
2023-05-06,0,2023-05-06 00:00:00
2023-05-07,0,2023-05-07 00:00:00
2023-05-08,0,2023-05-08 00:00:00
2023-05-09,0,2023-05-09 00:00:00
2023-05-10,0,2023-05-10 00:00:00
2023-05-11,0,2023-05-11 00:00:00
2023-05-12,0,2023-05-12 00:00:00
2023-05-13,0,2023-05-13 00:00:00
2023-05-14,0,2023-05-14 00:00:00
2023-05-15,0,2023-05-15 00:00:00
2023-05-16,0,2023-05-16 00:00:00
2023-05-17,0,2023-05-17 00:00:00
2023-05-18,0,2023-05-18 00:00:00
2023-05-19,0,2023-05-19 00:00:00
2023-05-20,0,2023-05-20 00:00:00
2023-05-21,0,2023-05-21 00:00:00
2023-05-22,0,2023-05-22 00:00:00
2023-05-23,0,2023-05-23 00:00:00
2023-05-24,0,2023-05-24 00:00:00
2023-05-25,0,2023-05-25 00:00:00
2023-05-26,0,2023-05-26 00:00:00
2023-05-27,0,2023-05-27 00:00:00
2023-05-28,0,2023-05-28 00:00:00
2023-05-29,0,2023-05-29 00:00:00
2023-05-30,0,2023-05-30 00:00:00
2023-05-31,0,2023-05-31 00:00:00
2023-06-01,0,2023-06-01 00:00:00
2023-06-02,0,2023-06-02 00:00:00
2023-06-03,0,2023-06-03 00:00:00
2023-06-04,0,2023-06-04 00:00:00
2023-06-05,0,2023-06-05 00:00:00
2023-06-06,0,2023-06-06 00:00:00
2023-06-07,0,2023-06-07 00:00:00
2023-06-08,0,2023-06-08 00:00:00
2023-06-09,0,2023-06-09 00:00:00
2023-06-10,0,2023-06-10 00:00:00
2023-06-11,0,2023-06-11 00:00:00
2023-06-12,0,2023-06-12 00:00:00
2023-06-13,0,2023-06-13 00:00:00
2023-06-14,0,2023-06-14 00:00:00
2023-06-15,0,2023-06-15 00:00:00
2023-06-16,0,2023-06-16 00:00:00
2023-06-17,0,2023-06-17 00:00:00
2023-06-18,0,2023-06-18 00:00:00
2023-06-19,0,2023-06-19 00:00:00
2023-06-20,0,2023-06-20 00:00:00
2023-06-21,0,2023-06-21 00:00:00
2023-06-22,0,2023-06-22 00:00:00
2023-06-23,0,2023-06-23 00:00:00
2023-06-24,0,2023-06-24 00:00:00
2023-06-25,0,2023-06-25 00:00:00
2023-06-26,0,2023-06-26 00:00:00
2023-06-27,0,2023-06-27 00:00:00
2023-06-28,0,2023-06-28 00:00:00
2023-06-29,0,2023-06-29 00:00:00
2023-06-30,0,2023-06-30 00:00:00
2023-07-01,0,2023-07-01 00:00:00
2023-07-02,0,2023-07-02 00:00:00
2023-07-03,0,2023-07-03 00:00:00
2023-07-04,0,2023-07-04 00:00:00
2023-07-05,0,2023-07-05 00:00:00
2023-07-06,0,2023-07-06 00:00:00
2023-07-07,0,2023-07-07 00:00:00
2023-07-08,0,2023-07-08 00:00:00
2023-07-09,0,2023-07-09 00:00:00
2023-07-10,0,2023-07-10 00:00:00
2023-07-11,0,2023-07-11 00:00:00
2023-07-12,0,2023-07-12 00:00:00
2023-07-13,0,2023-07-13 00:00:00
2023-07-14,0,2023-07-14 00:00:00
2023-07-15,0,2023-07-15 00:00:00
2023-07-16,0,2023-07-16 00:00:00
2023-07-17,0,2023-07-17 00:00:00
2023-07-18,0,2023-07-18 00:00:00
2023-07-19,0,2023-07-19 00:00:00
2023-07-20,0,2023-07-20 00:00:00
2023-07-21,0,2023-07-21 00:00:00
2023-07-22,0,2023-07-22 00:00:00
2023-07-23,0,2023-07-23 00:00:00
2023-07-24,0,2023-07-24 00:00:00
2023-07-25,0,2023-07-25 00:00:00
2023-07-26,0,2023-07-26 00:00:00
2023-07-27,0,2023-07-27 00:00:00
2023-07-28,0,2023-07-28 00:00:00
2023-07-29,0,2023-07-29 00:00:00
2023-07-30,0,2023-07-30 00:00:00
2023-07-31,0,2023-07-31 00:00:00
2023-08-01,0,2023-08-01 00:00:00
2023-08-02,0,2023-08-02 00:00:00
2023-08-03,0,2023-08-03 00:00:00
2023-08-04,0,2023-08-04 00:00:00
2023-08-05,0,2023-08-05 00:00:00
2023-08-06,0,2023-08-06 00:00:00
2023-08-07,0,2023-08-07 00:00:00
2023-08-08,0,2023-08-08 00:00:00
2023-08-09,0,2023-08-09 00:00:00
2023-08-10,0,2023-08-10 00:00:00
2023-08-11,0,2023-08-11 00:00:00
2023-08-12,0,2023-08-12 00:00:00
2023-08-13,0,2023-08-13 00:00:00
2023-08-14,0,2023-08-14 00:00:00
2023-08-15,0,2023-08-15 00:00:00
2023-08-16,0,2023-08-16 00:00:00
2023-08-17,0,2023-08-17 00:00:00
2023-08-18,0,2023-08-18 00:00:00
2023-08-19,0,2023-08-19 00:00:00
2023-08-20,0,2023-08-20 00:00:00
2023-08-21,0,2023-08-21 00:00:00
2023-08-22,0,2023-08-22 00:00:00
2023-08-23,0,2023-08-23 00:00:00
2023-08-24,0,2023-08-24 00:00:00
2023-08-25,0,2023-08-25 00:00:00
2023-08-26,0,2023-08-26 00:00:00
2023-08-27,0,2023-08-27 00:00:00
2023-08-28,0,2023-08-28 00:00:00
2023-08-29,0,2023-08-29 00:00:00
2023-08-30,0,2023-08-30 00:00:00
2023-08-31,0,2023-08-31 00:00:00
2023-09-01,0,2023-09-01 00:00:00
2023-09-02,0,2023-09-02 00:00:00
2023-09-03,0,2023-09-03 00:00:00
2023-09-04,0,2023-09-04 00:00:00
2023-09-05,0,2023-09-05 00:00:00
2023-09-06,0,2023-09-06 00:00:00
2023-09-07,0,2023-09-07 00:00:00
2023-09-08,0,2023-09-08 00:00:00
2023-09-09,0,2023-09-09 00:00:00
2023-09-10,0,2023-09-10 00:00:00
2023-09-11,0,2023-09-11 00:00:00
2023-09-12,0,2023-09-12 00:00:00
2023-09-13,0,2023-09-13 00:00:00
2023-09-14,0,2023-09-14 00:00:00
2023-09-15,340,2023-09-15 00:00:00
2023-09-16,0,2023-09-16 00:00:00
2023-09-17,0,2023-09-17 00:00:00
2023-09-18,600,2023-09-18 00:00:00
2023-09-19,600,2023-09-19 00:00:00
2023-09-20,860,2023-09-20 00:00:00
2023-09-21,820,2023-09-21 00:00:00
2023-09-22,2020,2023/09/22 11:02:22
2023-09-25,3190,2023/09/25 10:11:07
2023-09-26,3780,2023/09/26 09:24:02
2023-09-27,4170,2023/09/27 09:27:16
2023-09-28,5080,2023/09/28 09:27:16
2023-12-18,600,2023/12/18 09:44:48
2023-12-19,1820,2023/12/19 10:02:09
2023-12-20,1510,2023/12/20 09:33:06
2023-12-21,2260,2023/12/21 09:32:44
2023-12-22,2910,2023/12/22 09:41:27
2023-12-25,900,2023/12/25 09:50:41
2023-12-26,350,2023/12/26 09:35:06
2023-12-27,0,2023/12/27 09:24:05
2024-02-02,140,2024/02/02 09:34:23
2024-02-04,0,2024/02/04 09:25:34
2024-02-05,0,2024/02/05 09:35:12
2024-02-06,0,2024/02/06 09:23:28
