day_stap,repo,prior_repo,outflow
2022-07-01,100,0,100
2022-07-02,0,0,0
2022-07-03,0,0,0
2022-07-04,30,0,30
2022-07-05,30,0,30
2022-07-06,30,0,30
2022-07-07,30,0,30
2022-07-08,30,0,30
2022-07-09,0,0,0
2022-07-10,0,0,0
2022-07-11,30,0,30
2022-07-12,30,100,-70
2022-07-13,30,30,0
2022-07-14,30,30,0
2022-07-15,30,30,0
2022-07-16,0,30,-30
2022-07-17,0,30,-30
2022-07-18,120,30,90
2022-07-19,70,30,40
2022-07-20,70,30,40
2022-07-21,30,30,0
2022-07-22,30,30,0
2022-07-23,0,30,-30
2022-07-24,0,30,-30
2022-07-25,50,30,20
2022-07-26,50,30,20
2022-07-27,20,120,-100
2022-07-28,20,70,-50
2022-07-29,20,70,-50
2022-07-30,0,70,-70
2022-07-31,0,70,-70
2022-08-01,20,30,-10
2022-08-02,20,30,-10
2022-08-03,20,50,-30
2022-08-04,20,50,-30
2022-08-05,20,20,0
2022-08-06,0,20,-20
2022-08-07,0,20,-20
2022-08-08,20,20,0
2022-08-09,20,20,0
2022-08-10,20,20,0
2022-08-11,20,20,0
2022-08-12,20,20,0
2022-08-13,0,20,-20
2022-08-14,0,20,-20
2022-08-15,20,20,0
2022-08-16,20,20,0
2022-08-17,20,20,0
2022-08-18,20,20,0
2022-08-19,20,20,0
2022-08-20,0,20,-20
2022-08-21,0,20,-20
2022-08-22,20,20,0
2022-08-23,20,20,0
2022-08-24,20,20,0
2022-08-25,20,20,0
2022-08-26,20,20,0
2022-08-27,0,20,-20
2022-08-28,0,20,-20
2022-08-29,20,20,0
2022-08-30,20,20,0
2022-08-31,20,20,0
2022-09-01,20,20,0
2022-09-02,20,20,0
2022-09-03,0,20,-20
2022-09-04,0,20,-20
2022-09-05,20,20,0
2022-09-06,20,20,0
2022-09-07,20,20,0
2022-09-08,20,20,0
2022-09-09,20,20,0
2022-09-10,0,20,-20
2022-09-11,0,20,-20
2022-09-12,0,20,-20
2022-09-13,20,20,0
2022-09-14,20,20,0
2022-09-15,20,20,0
2022-09-16,20,20,0
2022-09-17,0,20,-20
2022-09-18,0,20,-20
2022-09-19,20,20,0
2022-09-20,20,20,0
2022-09-21,20,20,0
2022-09-22,20,20,0
2022-09-23,20,20,0
2022-09-24,0,20,-20
2022-09-25,0,20,-20
2022-09-26,420,20,400
2022-09-27,1130,20,1110
2022-09-28,1330,20,1310
2022-09-29,1050,20,1030
2022-09-30,1280,20,1260
2022-10-01,0,20,-20
2022-10-02,0,20,-20
2022-10-03,0,20,-20
2022-10-04,0,20,-20
2022-10-05,0,20,-20
2022-10-06,0,20,-20
2022-10-07,0,20,-20
2022-10-08,170,20,150
2022-10-09,20,20,0
2022-10-10,20,420,-400
2022-10-11,20,1130,-1110
2022-10-12,20,1330,-1310
2022-10-13,20,1050,-1030
2022-10-14,20,1280,-1260
2022-10-15,0,1280,-1280
2022-10-16,0,1280,-1280
2022-10-17,20,170,-150
2022-10-18,20,20,0
2022-10-19,20,20,0
2022-10-20,20,20,0
2022-10-21,20,20,0
2022-10-22,0,20,-20
2022-10-23,0,20,-20
2022-10-24,100,20,80
2022-10-25,2300,20,2280
2022-10-26,2800,20,2780
2022-10-27,2400,20,2380
2022-10-28,900,20,880
2022-10-29,0,20,-20
2022-10-30,0,20,-20
2022-10-31,700,20,680
2022-11-01,150,20,130
2022-11-02,180,100,80
2022-11-03,70,2300,-2230
2022-11-04,30,2800,-2770
2022-11-05,0,2800,-2800
2022-11-06,0,2800,-2800
2022-11-07,20,2400,-2380
2022-11-08,20,900,-880
2022-11-09,80,700,-620
2022-11-10,90,150,-60
2022-11-11,120,180,-60
2022-11-12,0,180,-180
2022-11-13,0,180,-180
2022-11-14,50,70,-20
2022-11-15,1720,30,1690
2022-11-16,710,20,690
2022-11-17,1320,20,1300
2022-11-18,210,80,130
2022-11-19,0,80,-80
2022-11-20,0,80,-80
2022-11-21,30,90,-60
2022-11-22,20,120,-100
2022-11-23,20,50,-30
