,日期Date,trait_x1,收盘Close,收盘Close_1,wave
300,20231201,-5450.0,3031.64,3029.67,0.0007
303,20231204,-4340.0,3022.91,3031.64,-0.0029
304,20231205,-2050.0,2972.3,3022.91,-0.0167
305,20231206,-1980.0,2968.93,2972.3,-0.0011
306,20231207,-3000.0,2966.21,2968.93,-0.0009
307,20231208,780.0,2969.56,2966.21,0.0011
310,20231211,2180.0,2991.44,2969.56,0.0074
311,20231212,2040.0,3003.44,2991.44,0.004
312,20231213,250.0,2968.76,3003.44,-0.0115
313,20231214,-1010.0,2958.99,2968.76,-0.0033
314,20231215,-1470.0,2942.56,2958.99,-0.0056
317,20231218,-1010.0,2930.8,2942.56,-0.004
318,20231219,-2950.0,2932.39,2930.8,0.0005
319,20231220,-1310.0,2902.11,2932.39,-0.0103
320,20231221,-670.0,2918.71,2902.11,0.0057
321,20231222,-100.0,2914.78,2918.71,-0.0013
324,20231225,1970.0,2918.81,2914.78,0.0014
325,20231226,2640.0,2898.88,2918.81,-0.0068
326,20231227,2870.0,2914.61,2898.88,0.0054
327,20231228,1790.0,2954.7,2914.61,0.0138
328,20231229,1550.0,2974.93,2954.7,0.0068
332,20240102,-2460.0,2962.28,2974.93,-0.0043
333,20240103,-4070.0,2967.25,2962.28,0.0017
334,20240104,-3590.0,2954.35,2967.25,-0.0043
335,20240105,-1200.0,2929.18,2954.35,-0.0085
338,20240108,500.0,2887.54,2929.18,-0.0142
339,20240109,-720.0,2893.25,2887.54,0.002
340,20240110,60.0,2877.7,2893.25,-0.0054
341,20240111,120.0,2886.65,2877.7,0.0031
342,20240112,-100.0,2881.98,2886.65,-0.0016
345,20240115,390.0,2886.29,2881.98,0.0015
346,20240116,6950.0,2893.99,2886.29,0.0027
347,20240117,5270.0,2833.62,2893.99,-0.0209
348,20240118,730.0,2845.78,2833.62,0.0043
349,20240119,60.0,2832.28,2845.78,-0.0047
352,20240122,330.0,2756.34,2832.28,-0.0268
353,20240123,-2950.0,2770.98,2756.34,0.0053
354,20240124,-840.0,2820.77,2770.98,0.018
355,20240125,3660.0,2906.11,2820.77,0.0303
356,20240126,3900.0,2910.22,2906.11,0.0014
359,20240129,3780.0,2883.36,2910.22,-0.0092
360,20240130,980.0,2830.53,2883.36,-0.0183
361,20240131,810.0,2788.55,2830.53,-0.0148
362,20240201,-4230.0,2770.74,2788.55,-0.0064
363,20240202,-3780.0,2730.15,2770.74,-0.0146
366,20240205,-4000.0,2702.19,2730.15,-0.0102
367,20240206,-2240.0,2789.49,2702.19,0.0323
368,20240207,-2050.0,2829.7,2789.49,0.0144
369,20240208,2960.0,2865.9,2829.7,0.0128
380,20240219,320.0,2910.54,2865.9,0.0156
381,20240220,410.0,2922.73,2910.54,0.0042
382,20240221,490.0,2950.96,2922.73,0.0097
383,20240222,580.0,2988.36,2950.96,0.0127
384,20240223,2470.0,3004.88,2988.36,0.0055
387,20240226,2970.0,2977.02,3004.88,-0.0093
388,20240227,3430.0,3015.48,2977.02,0.0129
389,20240228,2750.0,2957.85,3015.48,-0.0191
390,20240229,590.0,3015.17,2957.85,0.0194
391,20240301,-2370.0,3027.02,3015.17,0.0039
394,20240304,-3190.0,3039.31,3027.02,0.0041
395,20240305,-3740.0,3047.79,3039.31,0.0028
396,20240306,-3140.0,3039.93,3047.79,-0.0026
397,20240307,-1070.0,3027.4,3039.93,-0.0041
398,20240308,0.0,3046.02,3027.4,0.0062
401,20240311,0.0,3068.46,3046.02,0.0074
402,20240312,0.0,3055.94,3068.46,-0.0041
403,20240313,-70.0,3043.83,3055.94,-0.004
404,20240314,-70.0,3038.23,3043.83,-0.0018
405,20240315,30.0,3054.64,3038.23,0.0054
408,20240318,0.0,3084.93,3054.64,0.0099
409,20240319,-50.0,3062.76,3084.93,-0.0072
410,20240320,0.0,3079.69,3062.76,0.0055
411,20240321,-10.0,3077.11,3079.69,-0.0008
412,20240322,-110.0,3048.03,3077.11,-0.0095
415,20240325,400.0,3026.31,3048.03,-0.0071
416,20240326,1450.0,3031.48,3026.31,0.0017
417,20240327,2470.0,2993.14,3031.48,-0.0126
418,20240328,2480.0,3010.66,2993.14,0.0059
419,20240329,1480.0,3041.17,3010.66,0.0101
422,20240401,-480.0,3077.38,3041.17,0.0119
423,20240402,-1480.0,3074.96,3077.38,-0.0008
424,20240403,-2480.0,3069.3,3074.96,-0.0018
429,20240408,0.0,3047.05,3069.3,-0.0072
430,20240409,0.0,3048.54,3047.05,0.0005
431,20240410,0.0,3027.33,3048.54,-0.007
432,20240411,20.0,3034.25,3027.33,0.0023
433,20240412,20.0,3019.47,3034.25,-0.0049
436,20240415,0.0,3057.38,3019.47,0.0126
437,20240416,0.0,3007.07,3057.38,-0.0165
438,20240417,0.0,3071.38,3007.07,0.0214
439,20240418,0.0,3074.22,3071.38,0.0009
440,20240419,0.0,3065.26,3074.22,-0.0029
443,20240422,0.0,3044.6,3065.26,-0.0067
444,20240423,0.0,3021.98,3044.6,-0.0074
445,20240424,0.0,3044.82,3021.98,0.0076
446,20240425,0.0,3052.9,3044.82,0.0027
447,20240426,0.0,3088.64,3052.9,0.0117
450,20240429,0.0,3113.04,3088.64,0.0079
451,20240430,4380.0,3104.82,3113.04,-0.0026
457,20240506,0.0,3140.72,3104.82,0.0116
458,20240507,-4380.0,3147.74,3140.72,0.0022
459,20240508,20.0,3128.48,3147.74,-0.0061
460,20240509,20.0,3154.32,3128.48,0.0083
461,20240510,20.0,3154.55,3154.32,0.0001
464,20240513,0.0,3148.02,3154.55,-0.0021
465,20240514,0.0,3145.77,3148.02,-0.0007
466,20240515,0.0,3119.9,3145.77,-0.0082
467,20240516,0.0,3122.4,3119.9,0.0008
468,20240517,0.0,3154.03,3122.4,0.0101
471,20240520,0.0,3171.15,3154.03,0.0054
472,20240521,0.0,3157.97,3171.15,-0.0042
473,20240522,0.0,3158.54,3157.97,0.0002
474,20240523,0.0,3116.39,3158.54,-0.0133
475,20240524,0.0,3088.87,3116.39,-0.0088
478,20240527,0.0,3124.04,3088.87,0.0114
479,20240528,0.0,3109.57,3124.04,-0.0046
480,20240529,2480.0,3111.02,3109.57,0.0005
481,20240530,2580.0,3091.68,3111.02,-0.0062
482,20240531,980.0,3086.81,3091.68,-0.0016
485,20240603,0.0,3078.49,3086.81,-0.0027
486,20240604,0.0,3091.2,3078.49,0.0041
487,20240605,-2480.0,3065.4,3091.2,-0.0083
488,20240606,-2580.0,3048.79,3065.4,-0.0054
489,20240607,-980.0,3051.28,3048.79,0.0008
493,20240611,0.0,3028.05,3051.28,-0.0076
494,20240612,0.0,3037.47,3028.05,0.0031
495,20240613,0.0,3028.92,3037.47,-0.0028
496,20240614,0.0,3032.63,3028.92,0.0012
499,20240617,20.0,3015.89,3032.63,-0.0055
500,20240618,840.0,3030.25,3015.89,0.0048
501,20240619,2760.0,3018.05,3030.25,-0.004
502,20240620,180.0,3005.44,3018.05,-0.0042
503,20240621,80.0,2998.14,3005.44,-0.0024
506,20240624,460.0,2963.1,2998.14,-0.0117
507,20240625,2140.0,2950.0,2963.1,-0.0044
508,20240626,-280.0,2972.53,2950.0,0.0076
509,20240627,800.0,2945.85,2972.53,-0.009
510,20240628,400.0,2967.4,2945.85,0.0073
513,20240701,-480.0,2994.73,2967.4,0.0092
514,20240702,-2980.0,2997.01,2994.73,0.0008
515,20240703,-2480.0,2982.38,2997.01,-0.0049
516,20240704,-980.0,2957.57,2982.38,-0.0083
517,20240705,-480.0,2949.93,2957.57,-0.0026
520,20240708,0.0,2922.45,2949.93,-0.0093
521,20240709,0.0,2959.37,2922.45,0.0126
522,20240710,0.0,2939.36,2959.37,-0.0068
523,20240711,0.0,2970.39,2939.36,0.0106
524,20240712,0.0,2971.3,2970.39,0.0003
527,20240715,1270.0,2974.01,2971.3,0.0009
528,20240716,6740.0,2976.3,2974.01,0.0008
529,20240717,2680.0,2962.85,2976.3,-0.0045
530,20240718,470.0,2977.13,2962.85,0.0048
531,20240719,570.0,2982.31,2977.13,0.0017
534,20240722,-708.0,2964.22,2982.31,-0.0061
535,20240723,-4087.0,2915.37,2964.22,-0.0165
536,20240724,-2039.0,2901.95,2915.37,-0.0046
537,20240725,1861.0,2886.74,2901.95,-0.0052
538,20240726,2990.5,2890.9,2886.74,0.0014
541,20240729,2433.7,2891.85,2890.9,0.0003
542,20240730,-510.3000000000002,2879.3,2891.85,-0.0043
543,20240731,1855.6999999999998,2938.75,2879.3,0.0206
544,20240801,-2247.3,2932.39,2938.75,-0.0022
545,20240802,-3568.8,2905.34,2932.39,-0.0092
548,20240805,-3009.0,2860.7,2905.34,-0.0154
549,20240806,-2156.5,2867.28,2860.7,0.0023
550,20240807,-2516.7,2869.83,2867.28,0.0009
551,20240808,-32.7,2869.9,2869.83,0.0
552,20240809,117.3,2862.19,2869.9,-0.0027
555,20240812,738.3,2858.2,2862.19,-0.0014
556,20240813,3850.8,2867.95,2858.2,0.0034
557,20240814,3692.0,2850.65,2867.95,-0.006
558,20240815,5706.0,2877.36,2850.65,0.0094
559,20240816,1249.0,2879.43,2877.36,0.0007
562,20240819,-224.0,2893.67,2879.43,0.0049
563,20240820,-2366.0,2866.66,2893.67,-0.0093
564,20240821,-1112.0,2856.58,2866.66,-0.0035
565,20240822,-2184.0,2848.77,2856.58,-0.0027
566,20240823,2415.0,2854.37,2848.77,0.002
569,20240826,4189.0,2855.52,2854.37,0.0004
570,20240827,3234.0,2848.73,2855.52,-0.0024
571,20240828,193.0,2837.43,2848.73,-0.004
572,20240829,-2084.0,2823.11,2837.43,-0.005
573,20240830,-3492.0,2842.21,2823.11,0.0068
576,20240902,-4675.0,2811.04,2842.21,-0.011
577,20240903,-4713.0,2802.98,2811.04,-0.0029
578,20240904,-2766.0,2784.28,2802.98,-0.0067
579,20240905,-876.0,2788.31,2784.28,0.0014
580,20240906,1114.0,2765.81,2788.31,-0.0081
583,20240909,880.0,2736.49,2765.81,-0.0106
584,20240910,1848.0,2744.19,2736.49,0.0028
585,20240911,2093.0,2721.8,2744.19,-0.0082
586,20240912,975.0,2717.12,2721.8,-0.0017
587,20240913,947.0,2704.09,2717.12,-0.0048
592,20240918,3582.0,2717.28,2704.09,0.0049
593,20240919,3628.0,2736.02,2717.28,0.0069
594,20240920,3357.0,2736.81,2736.02,0.0003
597,20240923,1601.0,2748.92,2736.81,0.0044
598,20240924,4600.0,2863.13,2748.92,0.0415
599,20240925,-5682.0,2896.31,2863.13,0.0116
600,20240926,-5236.0,3000.95,2896.31,0.0361
601,20240927,-5719.0,3087.53,3000.95,0.0289
604,20240930,520.0,3336.5,3087.53,0.0806
612,20241008,417.0,3489.78,3336.5,0.0459
613,20241009,610.0,3258.86,3489.78,-0.0662
614,20241010,1500.0,3301.93,3258.86,0.0132
615,20241011,942.0,3217.74,3301.93,-0.0255
618,20241014,195.0,3284.32,3217.74,0.0207
619,20241015,266.0,3201.29,3284.32,-0.0253
620,20241016,5814.0,3202.95,3201.29,0.0005
621,20241017,-174.0,3169.38,3202.95,-0.0105
622,20241018,142.0,3261.56,3169.38,0.0291
625,20241021,1894.0,3268.11,3261.56,0.002
626,20241022,901.0,3285.87,3268.11,0.0054
627,20241023,1503.0,3302.8,3285.87,0.0052
628,20241024,6663.0,3280.26,3302.8,-0.0068
629,20241025,1842.0,3299.7,3280.26,0.0059
632,20241028,327.0,3322.2,3299.7,0.0068
633,20241029,2244.0,3286.41,3322.2,-0.0108
634,20241030,-3617.0,3266.24,3286.41,-0.0061
635,20241031,-4713.0,3279.82,3266.24,0.0042
636,20241101,-2755.0,3272.01,3279.82,-0.0024
639,20241104,-2243.0,3310.21,3272.01,0.0117
640,20241105,-3645.0,3386.99,3310.21,0.0232
641,20241106,-4137.0,3383.81,3386.99,-0.0009
642,20241107,-3084.0,3470.66,3383.81,0.0257
643,20241108,-49.0,3452.3,3470.66,-0.0053
646,20241111,1164.0,3470.07,3452.3,0.0051
647,20241112,1072.0,3421.97,3470.07,-0.0139
648,20241113,2157.0,3439.28,3421.97,0.0051
649,20241114,3090.0,3379.84,3439.28,-0.0173
650,20241115,9688.0,3330.73,3379.84,-0.0145
653,20241118,389.0,3323.85,3330.73,-0.0021
654,20241119,1628.0,3346.01,3323.85,0.0067
655,20241120,691.0,3367.99,3346.01,0.0066
656,20241121,1419.0,3370.4,3367.99,0.0007
657,20241122,-3459.0,3267.19,3370.4,-0.0306
660,20241125,767.0,3263.76,3267.19,-0.001
661,20241126,110.0,3259.76,3263.76,-0.0012
662,20241127,-338.0,3309.78,3259.76,0.0153
663,20241128,-2798.0,3295.7,3309.78,-0.0043
